,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 2ST1,,,N. Alexandria-2 Area B-1 (Dev),Raven (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 2ST2,,,N. Alexandria-2 Area B-1 (Dev),Raven (WND),Qantara Formation,Burdigalian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 2ST3,Jh050-02ST2,,N. Alexandria-2 Area B-1 (Dev),Raven (WND),Qantara Formation,Burdigalian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 3,,,N. Alexandria-2 Area B-1 (Dev),Raven (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 3ST1,,,N. Alexandria-2 Area B-1 (Dev),Raven (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 3ST2,,,N. Alexandria-2 Area B (Dev),Raven (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven 4,,,N. Alexandria-2 Area B (Dev),Raven (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven East 1,Jh050-04,,N. Alexandria-2 Area B (Dev),Raven (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Raven East 2,Jh050-05,,N. Alexandria-2 Area B (Dev),Raven (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Ruby 1,Ji049-01,,West Mediterranean Deep Water (Block B),Ruby 1,Kafr El Sheikh Formation,Pliocene
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Ruby 2,,,West Mediterranean Deep Water (Block B),Ruby 1,Kafr El Sheikh Formation,Piacenzian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Ruby 3,,,West Med. Deep Water (Dev),Ruby 1,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Salamat 1,,,N. Damietta Offshore Block-3a,Salamat 1,,Lower Oligocene
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Salmon 1,,Salamon 1,North El Burg Offshore NW,Salmon 1,Kafr El Sheikh Formation,Piacenzian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Satis 1,,,North El Burg Offshore,Satis 1,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Satis 2,Jj064-02,,North El Burg Offshore,Satis 1,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Satis 3,Jj064-03,,North El Burg Offshore,Satis 1,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Satis 3ST1,Jj064-04,,North El Burg Offshore,Satis 1,,
,,Egypt,Gulf of Suez Basin,September 1,,,North Ghara,,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Seth South 1ST1,,,North El Burg Offshore SE,Seth South 1,Kafr El Sheikh Formation,Piacenzian
,,Egypt,Gulf of Suez Basin,Shadwan North 377-2,,,North Shadwan,Shadwan North 377,Kareem Formation,Lower Serravallian
,,Egypt,Gulf of Suez Basin,Shadwan North 377-3ST1,,,North Shadwan,Shadwan North 377,,
,,Egypt,Gulf of Suez Basin,Shadwan North 377-5,,,North Shadwan,Shadwan North 377,,
,,Egypt,Gulf of Suez Basin,Shadwan North 385 1,NS385-1,,North Shadwan,Shadwan North 385,,
,,Egypt,Gulf of Suez Basin,Shadwan North 385 1ST1,NS385-1ST1,,North Shadwan,Shadwan North 385,,
,,Egypt,Gulf of Suez Basin,Shadwan North 385 1ST2,NS385-1ST2,,North Shadwan,Shadwan North 385,Lower Rudeis Member,Burdigalian
,,Egypt,Gulf of Suez Basin,Shadwan North 385 1ST3,NS385-1ST3,,North Shadwan,Shadwan North 385,Lower Rudeis Member,Burdigalian
,,Egypt,Gulf of Suez Basin,Shadwan North 394-1,,Burtocal NS 394-1,North Shadwan,Shadwan North 394,Basement,Precambrian
,,Egypt,Gulf of Suez Basin,Shadwan North 394-1ST1,,Burtocal NS 394-1ST1,North Shadwan,Shadwan North 394,Basement,Precambrian
,,Egypt,Gulf of Suez Basin,Shadwan North 394-2ST1,,Burtocal NS 394-2ST1,North Shadwan,Shadwan North 394,Lower Rudeis Member,Serravallian
,,Egypt,Gulf of Suez Basin,Shadwan North 394-2ST2,,,North Shadwan,Shadwan North 394,Basement,Precambrian
,,Egypt,Gulf of Suez Basin,Shadwan North 394-3,,Burtocal North 3,North Shadwan,Shadwan North 394,,
,,Egypt,Gulf of Suez Basin,Shadwan North 394-4,,,North Shadwan,Shadwan North 394,Basement,
,,Egypt,Gulf of Suez Basin,Shukheir Marine East 09D,Gb085-10,,East Shukheir Blk 6/A,,Asl Member,Upper Langhian
,,Egypt,Gulf of Suez Basin,Shukheir Marine East 10D,,,East Shukheir Blk 2-3-4/C,,Kareem Formation,Serravallian
,,Egypt,Pleshet Sub-basin (Levantine Basin),Sinai North 21 1,Je084-01,,N Sinai 21,,,Lower Cretaceous
,,Egypt,Gulf of Suez Basin,Tanka East 6,,,North October N,,Nubia C Member,Cambrian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Taurus Central 1,Jj051-06,,N. Alexandria-1 Area A-1 (Dev),Taurus (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Taurus Deep 1ST2,Jj055-02ST2,,N. Alexandria-1 Area A-1 (Dev),Taurus (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Taurus North 1,,,N. Alexandria-1 Area A-1 (Dev),Taurus (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Taurus North 2,Jj051-05,,N. Alexandria-1 Area A-1 (Dev),Taurus (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Taurus North 3,Jj051-04,,N. Alexandria-1 Area A-1 (Dev),Taurus (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Taurus South 1,Jj051-07,,N. Alexandria-1 Area A-1 (Dev),Taurus (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Taurus West 1,,,N. Alexandria-1 Area A-1 (Dev),Taurus (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Taurus West 2,Jj051-08,,N. Alexandria-1 Area A-1 (Dev),Taurus (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Taurus West 3,Jj051-09,,N. Alexandria-1 Area A-1 (Dev),Taurus (WND),,
